"Zap"	"Gloss"	"Trans"	"Lang"
"1"	"lohoh"	""	"‘face’"	""
"2"	"Zyuu:a’ll-ru’ Jwaany loh Beed."	"tall-ER3 Juan face Pedro"	"‘Juan is taller than Pedro’"	""
"3"	"B-guhty bzihihny behlld."	"perf-kill mouse fish"	"‘The mouse killed the fish’"	""
"4"	"Q. Tu b-ta:a’az Gyeeihlly"	"? who perf-hit Mike"	"‘Who hit Mike?’"	""
"5"	"Zye:einy cansyoony b-i:i’lly ra zhyara’p."	"MUCH.sol/abs6 song perf-sing7 pi8 girl"	"‘The girls sang many songs’"	""
"6"	"Na:a’y z-e:e Beed."	"yesterday def-go Pedro"	"‘Pedro left yesterday’"	""
"7"	"Zyuu:a’ll Lieeb."	"tall Felipe"	"‘Felipe is tall’"	""
"8"	", since this word is used before liquid and gas"	"mass nouns, always translating into 7 This verb also means"	"‘read’"	""
"9"	"R-yu’la:a:a’z-a’ r-a’uw-a’ bx:aa:ady."	"hab-like-lsg hab-eat-lsg chapulin"	"‘I like to eat chapulines’"	""
"10"	"R-ca:a’z-a’ g-a’uw-a’ bx:aa:ady."	"hab-want-lsg irr-eat-lsg chapulin"	"‘I want to eat chapulines’"	""
"11"	"Dehsdeh b-zehnny-a’ b-yu’la:a:a’z-a’ ru’c."	"since perf-anive-lsg peif-like-lsg here"	"‘Since (the) time I arrived I liked it here’"	""
"14"	"Sehnny Gyeeihlly yzhih e:ee?"	"def.arrive Mike tomorrow y/n?"	"‘Will Mike arrive tomorrow ?’"	""
"15"	"Cei’ty ca:a’-dya’ Cri’sy liebr x:te:e’n-ni’."	"not neut.have-neg Cris book poss-3sg.anaposs12"	"‘Chrisj doesn’"	""
"16"	"\" In fact, Lee (1997) takes nih to be a complementizer, basing this claim on causatives"	"such (i) X:-la’mm-eng b-e:e:i’ny nih b-gwah-ng loh gyihzhya’ah. poss-boss-3s perf-make th a t peif-cut-3s on grass"	"‘His boss caused him to cut the grass’"	""
"17"	"R-a’ahcw Gyeeihlly x:-cotoony-ni’."	"hab-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike puts on his shirt’"	""
"18"	"B-da’ahcw Gyeeihlly x:-cotoony-ni\"	"perf-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike put on his shirt’"	""
"19"	"G-a’acw Gyeeihlly x:-cotoony-ni’."	"irr-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike will put on his shirt’"	""
"20"	"Z-a’ahcw Gyeeihlly x:-cotoony-ni’."	"def-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike will surely put on his shirt’"	""
"21"	"Cay-a’ahcw Gyeeihlly x:-cotoony-ni’."	"prog-put.on Mike poss-shirt-3sg.anaposs"	"‘Mike is putting on his shirt’"	""
"22"	"Cei’ty ny-a’ahcw-dya’ Gyeeihlly x:-cotoony-ni’."	"not subj-put.on-neg Mike poss-shirt-3sg.anaposs"	"‘Mike didn’"	""
"23"	"N-a’ahcw Gyeeihlly x:-cotoony-ni\"	"neut-puton Mike poss-shirt-3sg.anaposs"	"‘Mike is wearing his shirt’"	""
"25"	"B-zu’aht-ne:e Jwaany na:a’."	"perf-play-with Juan lsg"	"‘Juan played with me’"	""
"26"	"R-yu’la:a:a’z-daa:a’n Jwaany na:a’."	"hab-like-very Juan lsg"	"‘Juan likes me very much’"	""
"28"	"Laranng b-da’uhw-eng comiied."	"3sg perf-eat-3sg food"	"‘HE ate the food’"	""
"29"	"R-yu’laa:a’z-eng na:a’."	"hab-like-3sg lsg"	"‘He likes me’"	""
"30"	"R-yu’la:a:a’z Jwaany na:a’."	"hab-like Juan lsg"	"‘Juan likes me’"	""
"31"	"R-umbe:e’-nn-ih."	"hab-know-lpl-3sg.dist"	"‘We know him’"	""
"32"	"20 Note that a construction parallel to the examples in (31) and"	"(32), i.e., sentences with third (i) R-umbe:e’ Jwaany laianng. hab-know Juan 3sg"	"‘Juan knows him.’"	""
"33"	"De’ts-a’ zuu mee’s."	"back-lsg neutstand table"	"‘The table is behind me’"	""
"34"	"Z-ya:all-a’ cehnn la:anng."	"def-come-lsg with 3sg"	"‘I came with him’"	""
"36"	"B-cwa:a:-a’ Jwaany pelo’t loh Beed."	"perf-throw-lsg Juan ball face Pedro"	"‘Juan threw the ball to Pedro’"	""
"37"	">"	""	"‘under’"	""
"38"	"R-umbi:-a’ ra studya’aann."	"hab-know-lsg pi student"	"‘I know the students’"	""
"39"	"liebr"	""	"‘book’"	""
"40"	"x:-liebr Lieeb"	"poss-book Felipe"	"‘Felipe’"	""
"41"	"yu’uh"	""	"‘house’"	""
"42"	"liihahz Lieeb"	"house Felipe"	"‘Felipe’"	""
"43"	"ra’ Lieeb"	"mouth Felipe"	"‘Felipe’"	""
"44"	"x:-azhi’ Lieeb"	"poss-nape Felipe"	"‘The back of Felipe’"	""
"45"	"bu’uhuhdy"	""	"‘chicken’"	""
"46"	"x:-pu’uhuhdy Lieeb"	"poss-chicken Felipe"	"‘Felipe’"	""
"47"	"be:e’cw"	""	"‘dog’"	""
"48"	"x:-ye:e’cw Lieeb"	"poss-dog Felipe"	"‘Felipe’"	""
"49"	"x:-pu’uliuhdy-a’"	"poss-chicken-lsg"	"‘my chicken’"	""
"50"	"R-dyaa:a’n-a’."	"hab-hungry-lsg"	"‘I get hungry’"	""
"51"	"Cal-dyaaia’n-a’.24"	"prog-hungry-lsg"	"‘I am hungry’"	""
"52"	"Il-dyaa:a’n-a’."	"irr-hungry-lsg"	"‘I will be hungry’"	""
"53"	"B-dyaa:a’n-a’."	"perf-htmgry-lsg"	"‘I was hungry’"	""
"54"	"Cei’ty n-dyaa:a’n-dy-a’ not"	"subj -hungry-neg- lsg"	"‘I didn’"	""
"55"	"S-dyaa:a’n-a’."	"def-hungry-lsg"	"‘I will surely get hungry’"	""
"56"	"Xniaa liebr."	"red book"	"‘The book is red’"	""
"57"	"Xniaa n-aa liebr."	"red neut-be book"	"‘The book is red’"	""
"58"	"Xniaa g-uhc liebr."	"red peif-be book"	"‘The book was red’"	""
"59"	"Xniaa g-a’c liebr."	"red irr-be book"	"‘The book will be red’"	""
"60"	"Ua’s nsehe’s cabai."	"very fast horse"	"‘The horse is fast’"	""
"61"	"Ua’s nsehe’s g-uhc cabai."	"very fast perf-be horse"	"‘The horse was fast’"	""
"62"	"Ua’s nsehe’s g-a’c cabai."	"very fast irr-be horse"	"‘The horse will be fast’"	""
"63"	"Asua’ll n-a:a liebr."	"blue neut-be book"	"‘The book is blue’"	""
"64"	"Liebr n-a:a asu’all."	"book neut-be blue"	"‘The BOOK is blue’"	""
"65"	"Nahll cafee."	"cold coffee"	"‘The coffee is cold’"	""
"66"	"cafee nahll"	"cofee cold"	"‘cold coffee’"	""
"67"	"Nde:e n-a:a x-:cotoony Gyeeihlly."	"tight neut-be poss-shirt Mike"	"‘Mike’"	""
"68"	"Nde:e x:-cotoony Gyeeihlly."	"tight poss-shirt Mike"	"‘Mike’"	""
"69"	"B-le:egwu:u’an Gyeeihlly cotoony de:e x:te:e’ Gyeeihlly."	"perf-throw.away Mike shirt tight poss Mike"	"‘Mike threw away his tight shirt’"	""
"71"	"ro’pta’ (ra) liebr xniaa re:e’ x:te:e’ Gyeeihlly"	"the.two pi book red this poss Mike"	"‘these two red books of Mike’"	""
"73"	"Juan escribe cartas mds frecuente-mente que Maria."	"Juan write.3sg letters ER frequent-ly that Maria"	"‘Juan writes letters more often than Maria.’"	""
"74"	"Juan escribe mds cartas que Maria"	"Juan write.3sg ER.MUCH.f.plu letters that Maria"	"‘Juan writes more letters than Marfa. ’"	""
"75"	"Juan escribe mds que Maria."	"Juan write.3sg ER.MUCH that Maria"	"‘Juan writes more than Maria.’"	""
"76"	"or"	""	"‘ERMUCH.f.pl’"	""
"77"	"There is neither a comparee NP, nor a standard NP, but there is both a first 14In many cases, the second term is"	"only a subpart of the material following the CONJUNQON 15 In Spanish, both ser and estar are most often translated into English as"	"‘be’"	""
"78"	"Pilar es m&s alt-a que fuerte."	"Pilar be.3sg ER tall-f that strong18"	"‘Pilar is more tall than strong. ’"	""
"82"	"El espanol es mas fdcil que 1-a geometrfa."	"the.m Spanish be.3sg ER easy that the-f geometry"	"‘Spanish is easier than geometry’"	""
"85"	"Este59 profesorexplica 1-a gramdtica m as this.m professor.m explain.3sg the-f"	"grammar ER detallada-mente que el otr-o. detailed-LY that the.m other-m"	"‘This professor explains the grammar in more detail than the other one’"	""
"90"	"Ernesto estudia m as que Luis."	"Ernesto study.3sg ER.M UCH that Luis"	"‘Ernesto studies more than Luis ’"	""
"92"	"Connte’enn-ru’ n-u’ Jwaany cah Wsee. content-ER"	"neut-be68 Juan than®9Jose [with copula nu’]"	"‘Juan is more content than Josd’"	""
"93"	"85As shown below,"	"comparisons such as"	"‘more than five’"	""
"95"	"Maaz-ru’ nsinni’cy n-a:a Jwaany cah Wsee."	"MAAZ-ER intelligent neut-be Juan than Josd"	"‘Juan is more intelligent than Josd’"	""
"97"	"Maaz-ru’ nsinni’cy Jwaany cah Wsee."	"MAAZ-ER intelligent Juan than Josd"	"‘Juan is more intelligent than Josd’"	""
"98"	"Maaz-ru’ nsehe’s r-zh:u:u’nny Rrodriiegw cah Liieb."	"MAAZ-ER fast hab-run Rodrigo than Felipe"	"‘Rodrigo runs faster than Felipe’"	""
"99"	"W-ta’ihsy-ru’ Rrodriiegw cah Liieb."	"perf-sleep-ER Rodrigo than Felipe"	"‘Rodrigo slept more than Felipe’"	""
"100"	"Maaz-ru’ w-ta’ihsy Rrodriiegw cah Liieb."	"MAAZ-ER perf-sleep Rodrigo than Felipe"	"‘Rodrigo slept more than Felipe’"	""
"101"	"Mnii’iny-ru’ Jwaany cah Wsee."	"child-ER Juan than Josd"	"‘Juan is more of a child than Josd’"	""
"102"	"Maaz-ru ’ mnii ’iny Jwaany cah"	"Wsee. MAAZ-ER child Juan than Josd"	"‘Juan is more of a child than Josd’"	""
"103"	"Zye:einy-ru’ liebr b-zi:i:i’ Rrodriiegw cah Liieb."	"MUCH.sol/abs-ER book perf-buy Rodrigo than Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"104"	"Zi:i’lly-ru’ biien gwe:e’eh"	"Rrodriiegw cah Liieb."	"‘Rodrigo drank more wine than Felipe’"	""
"105"	"Maaz-ru’ zye:einy liebr b-zi:i:i’ Rrodriiegw cah Liieb."	"MAAZ-ER MUCH.sol/abs book perf-buy Rodrigo than Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"106"	"Maaz-ru’ zi:i’lly biien gwe:e’eh Rrodriiegw cah Liieb."	"MAAZ-ER MUCH.liq/gas wine perf.drink Rodrigo than Felipe"	"‘Rodrigo drank more wine than Felipe’"	""
"107"	"L-a-s nifias cantaron mds canciones que 1-o-s ninos."	"the-f-pl girls sing.pret.3pl ER.MUCH.f.pl songs that the-m-pl boys"	"‘The girls sang more songs than the boys’"	""
"110"	"Maaz-da’ tse:ea’ cansyoony b-i:i’lly ra zhya:a’p."	"MAAZ74-than7S ten song perf-sang pi girl"	"‘The girls sang more than ten songs’"	""
"111"	"Zye:einy-ru’ cansyoony b-i:i’lly ra zhya:a’p"	"MUCH.sol/abs-ER song perf-sing pi girl"	"‘The girls sang more songs’"	""
"112"	"L-a-s ninas cantaron algun-a-s canciones, y luego, the-f-pl girls sing.pret.3pl"	"some-f-pl songs and then cantaron mds canciones. sing.pret.3pl ER.MUCH.f.pl songs"	"‘The girls sang some songs, and then they sang more songs’"	""
"114"	"Zyereiny cansyoony b-i:lly ra mnii’iny ngiu:u’w pehr MUCH.sol/abs song perf-sing pi child"	"male but zye:einy-ru’ cansyoony b-i:lly ra zhyara’p. MUCH.sol/abs-ER song perf-sing pi girl"	"‘The boys sang many songs, but the girls sang more songs’"	""
"115"	"L-a-s ninas cantaron diez canciones."	"the-f-pl girls sing.pret.3pl ten songs"	"‘The girls sang ten songs’"	""
"116"	"Tse:ea’ cansyoony b-i:i’lly ra zhya:a’p."	"ten songs perf-sing pi girl"	"‘The girls sang ten songs’"	""
"117"	"L-a-s ninas cantaron much-[]-a-s canciones."	"the-f-pl girls sing.pret.3pl very-MUCH-f-pl songs"	"‘The girls sang many songs’"	""
"118"	"Zye:einy cansyoony b-i:i’lly ra zhya:a’p"	"MUCH.sol/abs song perf-sing pi girl"	"‘The girls sang many songs’"	""
"120"	"Rodrigo ley6 mds libros que Felipe."	"Rodrigo read.pret.3sg ER.MUCH.rn.pl books than Felipe"	"‘Rodrigo read more books than Felipe. 88 I define this type of comparison as COMPARATIVE ELLIPSIS. The notion of I deviate from this definition in order to distinguish other constructions In Price’"	""
"121"	"Rodrigo comprd mds naranjas que manzanas."	"Rodrigo buy.pret.3sg ER.MUCH.f.pl oranges that apples"	"‘Rodrigo bought more oranges than apples’"	""
"124"	"Felipe lav6 mds coches Felipe wash.pret.3sg ER.MUCH.rn.pl cars"	"que camionetas lavdj Rodrigo, that pick.up.trucks wash.pret.3sg Rodrigo"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"126"	"Felipe lav6 mds coches de lo que Felipe wash.pret.3sg ER.MUCH.rn.pl cars"	"of the.n95 that Rodrigo lav6 de camionetas. Rodrigo wash.pret.3sg of pick.up.trucks."	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"127"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb. Du:u’zh-ru’ camione’t MUCH.sol/abs-ER car"	"perf-wash Felipe NEG.MUCH-ER pick.up.truck b-di:i’by Rrodriiegw. perf-wash Rodrigo"	"‘Felipe washed more cars. Rodrigo washed fewer pick-up trucks’"	""
"128"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb cah ze’cy nih MUCH.sol/abs-ER car perf-wash Felipe"	"than thus rel b-di:i’by Rrodriiegw camione’t. perf-wash Rodrigo pick. up. truck"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"129"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb cah ze’cy-dya’ camione’t MUCH.sol/abs-ER car perf-wash"	"Felipe than thus-MUCH pick.up.truck nih b-di:i’by Rrodriiegw rel perf-wash Rodrigo"	"‘Felipe washed more cars than Rodrigo washed trucks’"	""
"130"	"Felipe Iavo m3s coches de lo que Rodrigo Felipe wash.pret.3sg ER.MUCH.rn.pl cars of them that Rodrigo"	"le pidid (que lavara [ ] de coches) 3sg.dat ask.pret.3sg that wash.imp.subj.3sg98 [ ] of cars"	"‘Felipe washed more cars than Rodrigo asked him to (wash X-many cars) ’"	""
"131"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb cah nih r-zilla:a:a’z-u’ MUCH.sol/abs-ER car perf-wash Felipe than"	"rel hab-think-2sg (b-di:i’by-eng [ ]r a ca’rr).99 perf-wash-3sg. [ ] pi car"	"‘Felipe washed more cars than you think (that he washed X-many cars)’"	""
"132"	"and"	""	"‘subj’"	""
"133"	"Felipe ate chapulines."	"and Rodrigo, tortillas."	"‘Felipe ate chapulines, and Rodrigo (ate) tortillas’"	""
"135"	"Felipe lav6 mds coches que Rodrigo camionetas."	"Felipe wash.pret.3sg ER.MUCH.rn.pl cars that Rodrigo pick.up.trucks"	"‘Felipe washed more cars than Rodrigo pick-up trucks’"	""
"136"	"?Felipe washed more cars"	"than Rodrigo, pick-up trucks."	"‘Felipe washed more cars than Rodrigo (washed) pick-up trucks’"	""
"137"	"Felipe pas6 m£s tiempo en San Lucas que Felipe pass.pret.3sg ER.MUCH.m"	"time in San Lucas that Rodrigo en Oaxaca. Rodrigo in Oaxaca."	"‘Felipe spent more time in San Lucas than Rodrigo (spent) in Oaxaca’"	""
"138"	"Julia canta mejor que yo."	"Julia sing.pres.3sg well.ER that lsg.nom"	"‘Julia sings better than me’"	""
"139"	"[one contrast oranges vs. apples] [CE, partial comparison] 1,4 The first such case is a partial comparison in which the extent or"	"frequency of one type of (i) Patricia camind m£s que durmio durante su-s vacaciones. Patricia walk.pret.3sg ER.MUCH that sleep.pret.3sg during 3-pl vacation"	"‘Patricia walked more [i.e., for a longer time or more often] than she slept during her vacation’"	""
"140"	"Alfredo pas<5 mris tiempo en Bdlgica Alfredo pass.pret.3sg ER.MUCH.m time in"	"Belgium que yo en el Caribe. that lsg.nom in the.m Carribean"	"‘Alfredo spent more time in Belgium than I did in the Carribean’"	""
"141"	"Alfredo compr6 mds manzanas Alfredo buy.pret.3sg ER.MUCH.f.pl"	"apples que Ignaeia naranias.117 that Ignacia oranges"	"‘Alfredo bought more apples than Ignacia, oranges’"	""
"146"	"Elena corre mds que gmyga Juan."	"Elena run.3sg ER.MUCH that walk.3sg Juan"	"‘Elena runs more than Juan walks’"	""
"147"	"Elena corre mds que corre Susana."	"Elena run.3sg ER.MUCH that run.3sg Susana"	"‘Elena runs more than Susan’"	""
"148"	"Ignacia pintri mds de sesenta cuadros."	"Ignacia paint.pret.3sg ER.MUCH.rn.pl11’ of sixty pictures"	"‘Ignacia painted more than sixty pictures’"	""
"149"	"(190’) ?Estudiamos mds de lo que era necesario study.pret.lpi ER.MUCH"	"of the.n that be.imp.3sg necessary.n que estudidramos. that study.imp.subj. lpl"	"‘We studied more than it was necessary for us to study’"	""
"150"	"Compramos mds sillas de l-[]-a-s necesari-a-s."	"buy.pret.lpl ER.MUCH.f.pl chairs of the-MUCH-f-pl necessary-f-pl"	"‘We bought more chairs than necessary’"	""
"151"	"L-o-s estudiantes sacaron mds puntos the-m-pl students take.ouLpret.3pl"	"ER.MUCH.rn.pl points de lo esperado. of the.n expected.n"	"‘The students got more points than expected’"	""
"154"	"Nadd mds kil6metros de cuanto pude."	"swim.pret.lsg ER.MUCH.rn.pl kilometers of how.MUCH be.able.pret.lsg"	"‘I swam impossibly many kilometers’"	""
"156"	"Tengo mds canicas de I~[ ]-a-s que have.lsg ER.MUCH.f.pl"	"marbles of the-MUCH-f-pl that quisiera. want. imp. subj. 1sg"	"‘I have more marbles than I would like’"	""
"157"	"Nad6 mds kildmetros de lo que pude."	"swim.pret.lsg ER.MUCH.rn.pl kilometers of the.n that be.able.pret.lsg"	"‘I swam impossibly many kilometers’"	""
"158"	"Comprd mds de lo que querias."	"buy.pret.lsg ER.MUCH of the.n that want.imp.2sg"	"‘I bought more than the amount of things that you wanted me to buy’"	""
"159"	"‘I bought more than that which"	"that you wanted me to buy’"	NA	""
"161"	"Maaz-da’ te’ihby gueht b-da’uhw-a’."	"MAAZ128-than one tortilla perf-eat-lsg"	"‘I ate more than one tortilla’"	""
"162"	"Maaz-da’ te’ihby ngiu:u’w w-nna:-a’."	"MAAZ-than one man perf-see-lsg"	"‘I saw more than one man’"	""
"163"	"Maaz-ru’ r-zh:u:u’nny Liieb cah (noo) Rrodriiegw."	"MAAZ-ER hab-run Felipe than (NOO) Rodrigo"	"‘Felipe runs more than Rodrigo’"	""
"164"	"Maaz-da’ cah sufisye’eemid comiied b-da’uhw-a’."	"MAAZ-than than enough food perf-eat-lsg"	"‘I ate more than enough food’"	""
"166"	"Zye:einy-ru’ me’s b-zehnny"	"cah (noo) studya’aannd."	"‘More teachers arrived than students’"	""
"167"	"This construction is dispreferred in a comparison which could otherwise be (i.e., when the lower clause corresponding to the matrix clause is the covert com­ This formulation is allowed in"	"both comparisons of degree and quantity and 131 There is also an additional possibility for word order available for this type of structure than (i) Zye:einy-ru’ me’s cah studya’aannd b-zehnny."	"‘More teachers than students arrived’"	""
