"Zap"	"Gloss"	"Trans"	"Lang"
"312"	"To form comparisons of equality in"	"Spanish, the degree tanto / tan"	"‘so, as’"	""
"313"	"Estela vio tant-[]-a-s pelfculas como yo Estela see.pret.3sg so-MUCH-f-pl"	"movies like lsg.nom el mes pasad-o. the.m month past-m"	"‘Estela saw as many movies as me last month.’"	""
"314"	"212 4 . 2 . 2 3 .4 Questioned degree"	"When quantity is questioned in Spanish, the interrogative form cuanto"	"‘how (much)’"	""
"315"	"plus"	"tanto"	"‘so’"	""
"316"	"[often said in incredulous tone] Adjectival"	"degree is questioned by que tan"	"‘what so’"	""
"320"	"^Cudnto-f ] mide tu prim-o"	"? how-MUCH measure.3sg 2sg.poss cousin-m"	"‘How tall is your cousin (m.) ?’"	""
"321"	"? ^Qu6 tan viej-o es tu prim-o"	"? what so old-m be.3sg 2sg.poss cousin-m"	"‘How old is your cousin (m.) ?’"	""
"323"	"Juan es poco inteligente."	"Juan be.3sg NEG.very intelligent"	"‘Juan is not very intelligent’"	""
"326"	"Du:u’zh-ru’ nnyi’ihs b-e:e:i’ny-enn ua’s loh iihahz re:e’ NEG.MUCH-ER water"	"perf-do-lpl use face year this cah u-duhb-iihahz than perf-one-year"	"‘We used less water this year than last year’"	""
"327"	"Wzhi:i:e-ru’ nza’c liihaz Wsee cah liihaz Jwaany."	"NEG.very-ER pretty house Josd than house Juan"	"‘Jose’"	""
"328"	"Tomds comi6 mds de cinco hamburguesas."	"Tomds eat.pret.3sg ER.MUCH.f.pl of five hamburgers"	"‘Tomds ate more than five hamburgers’"	""
"331"	"Estela toma mds vino que cerveza."	"Estela take.3sg ER.MUCH.m wine that beer"	"‘Estela drinks more wine than beer’"	""
"332"	"Estela vio mds que a mf sol-o - tambien Estelasee.pret.3sg ER.MUCH"	"that p.a lsg.obl alone-m also vio a Enrique. see.pret.3sg p.a Enrique"	"‘Estela saw more than just me - she also saw Enrique’"	""
"333"	"Zye:einy-ru’ bx:aa:ady b-da’uhw"	"Liieb cah Rrodriiegw."	"‘Felipe ate more chapulines than Rodrigo’"	""
"334"	"Zye:einy-ru’ liebr b-zi:i:i’ Rrodriiegw"	"cah nih b-to:o’ Lieeb."	"‘Rodrigo bought more books than Felipe sold’"	""
"335"	"Zyuu:a’lly-ru’ Rrodriiegw loh Liieb."	"tall-ER Rodrigo face Felipe"	"‘Rodrigo is taller than Felipe’"	""
"338"	"Juan bes6 a Marfa antes que ella a el."	"Juan kiss.pret.3sg p.a Marfa before that 3sg.f.nom p.a 3sg.m.obl"	"‘Juan kissed Marfa before she him’"	""
"339"	"Juan bes6 a Maria despuds que ella a el."	"Juan kiss.pret.3sg p.a Maria after that 3sg.f.nom p.a 3sg.m.obl"	"‘Juan kissed Marfa after she him’"	""
"340"	"Juan perdid su cartera despues que Marfa 1-a suy-a"	"Juan lost 3poss wallet after that Maria the-f 3poss-f"	"‘Juan lost his wallet after Marfa hers’"	""
"341"	"Juan apagd su cigarro envezde Maria Juan putout.pret.3sg 3poss"	"cigarette in time of Maria el suy-o. the.m 3poss-m"	"‘Juan put out his cigarette instead of Maria hers’"	""
"342"	"Juan vio a Pedro, y a Susana tambien."	"Juan see.pret.3sg p.a Pedro and p.a Susana also"	"‘Juan saw Pedro, and Susana, too’"	""
"343"	"t see Susana’ Juan vio a Pedro, pero a Susana no / pero no"	"a Susana. Juan see.pret.3sg p.a Pedro but p.a Susana not but not p.a Susana"	"‘Juan saw Pedro, not Susana’"	""
"344"	"Juan no vio a Pedro, ni vio a Susana tampoco.—>"	"Juan not see.pret.3sg p.a Pedro nor see.pret.3sg p.a Susana either"	"‘Juan didn’"	""
"345"	"O Juan vio a Pedro, o Susana lo vio.—>"	"or Juan see.pret.3sg p.a Pedro or Susana 3sg.m.acc see.pret.3sg"	"‘Either Juan saw Pedro, or Susana saw him’"	""
"346"	"Juan se fue antes que Marfa."	"Juan refl go.pret.3sg before that Marfa"	"‘Juan left before Maria’"	""
"347"	"Juan se fue despuds de34 Maria."	"Juan refl go.pret.3sg after of Maria"	"‘Juan left after Maria’"	""
"348"	"Juan comid mds de cinco hamburguesas."	"Juan eat.pret.3sg ER.MUCH.f.pl of five hamburgers"	"‘Juan ate more than five hamburgers’"	""
"350"	"Juan comid mds hamburguesas de 1-o-s que Juan eat.pret.3sg ER.MUCH.f.pl hamburgers of"	"the-m-pl that dijo que iba a comer. say.pret.3sg that go.imp.3sg to eatinf"	"‘Juan ate more hamburgers than he said he was going to eat’"	""
"351"	"Jos6 compr6 mds libros de lo que piensas."	"Jos6 buy.pret.3g ER.MUCH.rn.pl books of the that think.2sg"	"‘Jos6 bought more books than you think’"	""
"354"	"Heriberto compr6 mds libros de Heriberto buy.3sg.pret ER.MUCH.rn.pl books"	"of l-[ ]-o-Sj que vendid tj. the-MUCH-m-pl that sell.pret3sg"	"‘Heriberto bought more books than he sold’"	""
"355"	"Tomds consigui6 mds plumas para el Tomds get.pret.3sg ER.MUCH.f.pl pens for 3sg.obl mism-o de"	"l-[ ]-a-sj que pidi6 tj self-m of the-MUCH-f-pl that ask.for.pret.3sg para nosotros. for lpl.obl"	"‘Tomds got more pens for himself than he requested for us’"	""
"358"	"Daniel es el nin-o que conociste ayer."	"Daniel be.3sg the.m child-m that met.pret.2sg yesterday"	"‘Daniel is the child that you met yesterday’"	""
"359"	"No me puedo creer lo [] que Daniel not"	"refl be.able.lsg believe.inf the.n MUCH42 that Daniel nadd. swim.pret.3sg"	"‘I can’"	""
"361"	"No me puedo creer lo guap-o-s que son not refl be.able.lsg"	"believe.inf the-n handsome-m-pl that be.3pl 1-o-s hermanos Gdmez. the-m-pl brothers Gdmez"	"‘I can’"	""
"366"	"Pedro es mds nin-o de lo [] que era Pedro be.3sg ER child-m"	"of the-n childish that be.imp.lsg yo a su edad. lsg.nom to his age"	"‘Pedro is more childish than I was at his age’"	""
"368"	"‘Josefina drank more milk"	"than she gave me’"	NA	""
"370"	"Tomds consigui6 mds plumas para el Tomds get.pret.3sg ER.MUCH.f.pl pens for 3sg.obl mism-o de"	"l-[ ]-a-sj que pidid tj self-m of the-MUCH-f-pl that ask.for.pret.3sg para nosotros. for lpl.obl"	"‘Tomds got more pens for himself than he requested for us’"	""
"372"	"Poncho quiere mds a su hermana de lo [)j Poncho love.3sg ER.MUCH p.a his"	"sister of the.n MUCH que odia tj a su cunado. thathate.3sg p.a 3poss brother.in.law"	"‘Poncho loves his sister more than he hates his brother-in-law’"	""
"373"	"No me puedo creer el dinero que not refl"	"be.able.lsg believe.inf the.MUCH.m money that perdid Miguel. lose.pret.3sg Mike"	"‘I can’"	""
"376"	"No me puedo creer l-[]-a-s plumas que Tomds not"	"refl be.able.lsg believe.inf the.MUCH.f.pl pens that Tomds consigui6. get.pret.3sg"	"‘I can’"	""
"377"	"Daniel puede nadar mds de [j)egp lo tcp [DegP [QP MUCH]"	"j 0 tj ] j que Jesus puede nadar tj ]]"	"‘Daniel can swim more than Jesus can swim’"	""
"380"	"m afraid of what could happen’ I have two types of objections to this proposal. One involves the choice of First of all, the string que lo que usually"	"occurs instead of de lo que when 48 Here, [e] represents the null complement of piensas. 49 This was suggested to me by Dominique Sportiche (p.c.). 50 The abbreviation"	"‘cond’"	""
"381"	"Tod-o lo que sucede aquf fuera de nuestr-a casa all-m the.n that happen.3sg here outside of our-f house me asusta"	"mds que lo que se lsg.dat scare.3sg ER.MUCH that the.n that refl ve en 1-a televisidn. see.3sg in the-f television"	"‘Everything that happens here outside of our house scares me more what one sees on TV’"	""
"382"	"Tod-o lo que sucede aquf fuera de nuestr-a casa all-m the.n that happen.3sg here outside of our-f house me asusta"	"mds que aquello que se lsg.dat scare.3sg ER.MUCH that thatn that refl ve en 1-a televisidn. see.3sg in the-f television"	"‘Everything that happens here outside of our house scares me more what one sees on TV’"	""
"383"	"Este libro es mds interesante que el que me this.m"	"book be.3sg ER interesting that the.m that lsg.dat recomendaste. recommend.pret.2sg"	"‘This book is more interesting than the one that you recommended to me’"	""
"384"	"/"	""	"‘that many’"	""
"385"	"Est-a-s revistas son mds interesante-s que est-o-s libros."	"this-f-pl magazines be.3pl ER interesting-pl that this-m-pl books"	"‘These magazines are more interesting than these books’"	""
"386"	"Miguel perdid mds dinero de lo que Miguel lose.pret.3sg ER.MUCH.m money"	"of the.n that encontrd [] de oro find.pret.3sg MUCH of gold"	"‘Miguel lost more money than he found gold’"	""
"388"	"Heriberto comprd mds libros de lo Heriberto buy.3sg.pret ER.MUCH.rn.pl books of the.n"	"272 que vendid [ ] de revistas that sell.pret.3sg MUCH of magazines"	"‘Heriberto bought more books than he sold magazines’"	""
"389"	"Tomds consigui6 mds plumas para el Tomds get.pret.3sg ER.MUCH.f.pl pens for 3sg.obl mism-o de lo que"	"pidi6 [] self-m of them that ask.for.pret.3sg MUCH de ldpices para nosotros. of pencils for lpl.obl"	"‘Tomds got more pens for himself than he requested pencils for us’"	""
"390"	"Poncho es mds guapo de lo que es inteligente."	"Poncho be.3sg ER handsome of the.n that be.3sg intelligent"	"‘Poncho is more handsome than he is intelligent’"	""
"393"	"Puedes comer cuanto quieras."	"be.able.2sg eat.inf how.MUCH want.subj.2sg"	"‘You can eat however much you want’"	""
"394"	"Jose comprd mds libros de cuanto piensas"	"[e]. Josdbuy.pret.3sg ER.MUCH.rn.pl books of how.n think.2sg"	"‘Jose bought more books than you think’"	""
"395"	"Miguel perdid mds dinero de cuant-[ ]-oj Miguel"	"lose.pret.3sg ER.MUCH.m money of how-MUCH-m find.pret.3sg encontr6 tj."	"‘Miguel lost more money than he found’"	""
"396"	"Josefina tom6 mds leche de cuant-[]-aj Josefina take.pret.3sg ER.MUCH.f milk of"	"how-MUCH-f me regal 6 a mi tj. lsg.dat give.pret.3sg to lsg.obl"	"‘Josefina drank more milk than she gave me’"	""
"397"	"Heriberto compr6 mds libros de Heriberto buy.3sg.pret ER.MUCH.rn.pl"	"books of cuant-[ ]-o-sj vendi6 tj. how-MUCH-m-pl sell.pret.3sg"	"‘Heriberto bought more books than he sold’"	""
"399"	"Jos6 comprd mds [de tres] libros."	"Jos6 buy.pret.3sg ER.MUCH.rn.pl of three books"	"‘Jose bought more than three books’"	""
"401"	"Pedro estd cansad-o de est-a clase."	"Pedro be.3sg tired-m of this-f class"	"‘Pedro is tired of this class’"	""
"402"	"Similarly, a complex preposition"	"such as lejos de"	"‘far from’"	""
"404"	"Juan comprd mds libros de I-[]-o-s Juan buy.pret.3sg"	"ER.MUCH.rn.pl books of the-MUCH-m-pl que vendid. that sell.pret.3sg"	"‘Juan bought more books than he sold’"	""
"405"	"Juan comprd mds de cinco libros."	"Juan buy.pret.3sg ER.MUCH.rn.pl of five books"	"‘Juan bought more than five books’"	""
"406"	"Juan comprd mds libros que yo."	"Juan buy.pret.3sg ER.MUCH.rn.pl books that lsg.nom"	"‘Juan bought more books than I did’"	""
"407"	") does to the clause preceding"	"it (213) in correlative conjunction ("	"‘both... and...’"	""
"408"	"Juan comprd mds libros que Marfa discos."	"Juan buy.pret.3sg ER.MUCH.rn.pl books that Marfa records"	"‘Juan bought more books than Marfa did records’"	""
"409"	"Ni comprd Juan libros, ni comprd Marfa discos,"	"nor buy.pret.3sg Juan books nor buy.pret.3sg Marfa records"	"‘Neither Juan bought books, nor did Maria buy records’"	""
"411"	"Dominique Sportiche suggests (p.c.) that if coordination involves any de­ 65 This"	"sentence is grammatical but only under irrelevant readings in which ni means"	"‘not 288 I adopt Sdez’"	""
"413"	"Josd piensa que yo soy mds alt-o de lo Josd think.3sg that lsg.nom"	"be.lsg ER tall-m of the.n que soy de verdad. that be.lsg of truth"	"‘Jos6 thinks that I am taller than I really am’"	""
"414"	"Juan no comid, ni comid Marfa"	"Juan not eat.pret.3sg nor eat.pret.3sg Marfa"	"‘Juan didn’"	""
"415"	"Felipe lav6 mds coches que camionetas Felipe wash.pret.3sg"	"MUCH.m.pl.ER cars that pick.up.trucks lav<5 Rodrigo. wash.pret.3sg Rodrigo"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"416"	"Felipe lav6 mds coches que Rodrigo Felipe wash.pret.3sg"	"MUCH.m.pI.ER cars that Rodrigo lav6 camionetas. wash.pret.3sg pick-up.trucks"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"417"	"Juan compr6 mds manzanas de l-[]-a-s Juan buy.pret.3sg ER.MUCH.f.pl"	"apples of the-MUCH-f-pl que tu vendiste. that 2sg.nom sell.pret.2sg"	"‘Juan bought more apples than you sold’"	""
"418"	"Juan comid mds manzanas que tu peras.76"	"Juan eat.pret.3sg ER.MUCH.f.pl apples that 2sg.nom pears"	"‘Juan ate more apples than you, pears’"	""
"419"	"Juan comid mds manzanas que tti"	"Juan eat.pret.3sg ER.MUCH.f.pl apples that 2sg.nom"	"‘Juan ate more apples than you’"	""
"420"	"Juan comid mds manzanas que tu."	"Juan eat.pret.3sg ER.MUCH.f.pl apples that 2sg.nom"	"‘Juan ate more apples than you’"	""
"422"	"Estuve con mds amigos en Roma que en Pans."	"be.pret.lsg with ER.MUCH.rn.pl friends in Rome that in Paris"	"‘I was with more friends in Rome than in Paris’"	""
"423"	"Mds chicos vieron films de Chaplin que de Keaton."	"ER.MUCH.rn.pl guys see.pret.3pl films of Chaplin that of Keaton"	"‘More guys saw films of Chaplin’"	""
"424"	"Josd comprd mds libros que Fernando."	"Josd buy.pret.3sg ER.MUCH.rn.pl books that Fernando"	"‘Jose bought more books than Fernando’"	""
"425"	"Josd compn5 mds libros de l-[ ]-o-s que Jose"	"buy.pret.3sg ER.MUCH.rn.plbooks of the-MUCH-m-pl that compr6 Fernando. buy.pret.3sg Fernando"	"‘Jose bought more books than Fernando bought’"	""
"426"	"Apeqsek tata’hkesew, nenah teh kan."	"more he-is-strong I and not"	"‘He is stronger than me’"	""
"427"	"Luu caa nuu yaha, nasuu nuu ndijnu"	"good very people this, not people Tlaxiaco"	"‘This people is better than the Tlaxiaco people’"	""
"428"	"Ina na namo herea, una na dia namo"	"this is good more that is not good"	"‘This is better than that’"	""
"429"	"Nato aibo hakun, wuitsa kiskaribi"	"this woman beautiful others not-be-so"	"‘This woman is more beautiful than others’"	""
"431"	"Gonzalo pasa mds tiempo en 1-a biblioteca que Gonzalo pass.3sg ER.MUCH.m time"	"in the-f library that Fernando en el gimnasio. Fernando in the.m gym"	"‘Gonzalo spends more time in the library than Fernando (does) in the gym’"	""
"432"	"Gonzalo pasa 1-o-s sdbados en 1-a biblioteca, y Femandoj Gonzalo spend3sg the-m-pl Saturdays in the-f library"	"and Fernando [en el gimnasio]j, tj pass I=o-s g&toados tj. in the.m gym pass.3sg the-m-pl Saturdays"	"‘Gonzalo spends Saturdays in the library, and Fernando in the gym’"	""
"433"	"Pedro tiene mds dinero que Fernando."	"Pedro have.3sg ER.MUCH.m money that Fernando"	"‘Pedro has more money than Fernando’"	""
"436"	"Pedro no tiene much-[]-o dinero v Fernando tampoco."	"Pedro not have.3sg very-MUCH-m money and Fernando either"	"‘Pedro doesn’"	""
"437"	"Pedro tiene much-[]-o dinero pero Fernando no."	"Pedro have.3sg very-MUCH-m money but Fernando not"	"‘Pedro has a lot of money, but not Fernando’"	""
"438"	"Pedro no tiene much-[]-o dinero pero Fernando sf-"	"Pedro not have.3sg very-MUCH-m money but Fernando yes"	"‘Pedro doesn’"	""
"440"	"Pedro tiene tan poco dinero como Fernando."	"Pedro have.3sg so NEG.MUCH.m money like Fernando"	"‘Pedro has as little money as Fernando’"	""
"442"	"Pedro tiene menos dinero que Fernando."	"Pedro have.3sg ER.NEG.MUCH.m money that Fernando"	"‘Pedro has less money than Fernando’"	""
"443"	"Pedro tiene mds dinero que no Fernando."	"Pedro have.3sg ER.MUCH.m money that no Fernando"	"‘Pedro has more money than Fernando’"	""
"444"	"Pedro tiene menos dinero que no Fernando."	"Pedro have.3sg ER.NEG.MUCH.m money that no Fernando"	"‘Pedro has less money than Fernando’"	""
"445"	"Maaz-ta’ ga:a’y liebr b-zi:i:i’ Jwaany."	"MAAZ-than five book perf-buy Juan"	"‘Juan bought more than five books’"	""
"446"	"Maaz-ta’ te’ihby mii b-zh:u:u’nny Jwaany."	"MAAZ-than one mile perf-run Juan"	"‘Juan ran more than one mile’"	""
"447"	"Zye:einy-ru’ liebr b-zi:i:i’ Jwaany cah nih b-to:o’ Liieb"	"MUCH.sol/abs-ER book perf-buy Juan than rel perf-sell Felipe"	"‘Juan bought more books than Felipe sold’"	""
"448"	"Zye:einy-ru’ liebr b-zi:i:i’"	"Jwaany cah Gyeeihlly."	"‘Juan bought more books than Mike’"	""
"449"	"Zyuu:a’ll-ru’ Jwaany {cah / loh} Gyeeihlly."	"tall-ER Juan than / face Mike"	"‘Juan is taller than Mike’"	""
"450"	"Juan tiene miedo de serpientes."	"Juan have.3sg fear of snakes"	"‘Juan is afraid of snakes’"	""
"451"	"Juan estd enamorad-o de Lucfa"	"Juan be.3sg in.love-m of Lucia"	"‘Juan is in live with Lucia’"	""
"452"	"B-cwa:a:a’ Jwaany pelo’t loh Rrodriiegw."	"perf-throw Juan ball face Rodrigo"	"‘Juan threw the ball to Rodrigo’"	""
"455"	"Zyuu:a’ll-ru’ Jwaany loh Gveeihllv."	"tall-ER Juan face Mike"	"‘Juan is taller than Mike’"	""
"458"	"Rodolfo pasa menos tiempo con su mamd que Rodolfo spend.3sg ER.NEG.MUCH time"	"with 3poss mom that Trinidad con su-s hermanos. Trinidad with 3poss-pl brothers"	"‘Rodolfo spends less time with his mom than Trinidad (does) with his brothers’"	""
"459"	"Zyuu:a’ll Gyeeihlly."	"tall Mike"	"‘Mike is tali’"	""
"460"	"(IV-170) Cata’lly nsinni’cy Jwaany"	"? how intelligent Juan"	"‘How intelligent is Juan ?’"	""
"461"	"Zyuu:a’ll-ta’ Wsee."	"tall-too Jose"	"‘Jose is too tall’"	""
"462"	"Zye:einy-ta’ liebr b-zi:i:i’ Wsee."	"MUCH.sol/abs-too book perf-buy Jose"	"‘Josd bought too many books’"	""
"463"	"Zi:i’lly-ta’ nnyi’ihs gwe:e’eh Wsee."	"MUCKliq/gas-too water perf.drink Jos6"	"‘Josd drank too much water’"	""
